Code	Color	Name	MainType	UMLS	NCI	Tissue	Parent
LUAS	Gainsboro	Lung Adenosquamous Carcinoma	Non-Small Cell Lung Cancer	C0279557	C9133	Lung	NSCLC
BMGT	Gray	Malignant Teratoma	Germ Cell Tumor	C1336704	C7015	CNS/Brain	BGCT
SCB	Yellow	Sarcomatoid Carcinoma of the Urinary Bladder	Bladder Cancer	C1512743	C39824	Bladder/Urinary Tract	BLADDER
SS	LimeGreen	Sezary Syndrome	Mature T and NK Neoplasms	C0036920	C3366	Hematopoietic	MTNL
DFSP	Black	Dermatofibrosarcoma Protuberans	Skin Cancer, Non-Melanoma	C0392784	C4683	Skin	SKIN
UPDC	PeachPuff	Poorly Differentiated Carcinoma of the Uterus	Endometrial Cancer			Uterus	UCEC
NBL	Gray	Neuroblastoma	Peripheral Nervous System	C0027819	C3270	Peripheral Nervous System	PNS
CENE	Teal	Cervical Neuroendocrine Tumor	Cervical Cancer	C1516417	C40214	Cervix	CERVIX
LIAS	MediumSeaGreen	Liver Angiosarcoma	Hepatobiliary Cancer	C0345907	C4438	Liver	LIVER
MPNST	Gray	Malignant Peripheral Nerve Sheath Tumor	Nerve Sheath Tumor	C0751690	C3798	Peripheral Nervous System	CPSNT
MYXO	LightYellow	Myxoma	Soft Tissue Sarcoma	C0027149	C6577	Soft Tissue	SOFT_TISSUE
CCSK	Orange	Clear Cell Sarcoma of Kidney	Clear Cell Sarcoma of Kidney			Kidney	KIDNEY
BLLNOS	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma, NOS	B-Cell Lymphoid Proliferations and Lymphomas	C2698310	C80326	Hematopoietic	BLL
BLL	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0862030	C8936	Hematopoietic	PBN
VIMT	Purple	Immature Teratoma	Germ Cell Tumor	C0334520	C4286	Vulva/Vagina	VGCT
VGCT	Purple	Germ Cell Tumor of the Vulva	Germ Cell Tumor			Vulva/Vagina	VULVA
PMFOFS	LightSalmon	Primary Myelofibrosis, Fibrotic	Myeloproliferative Neoplasms	C1516552	C41238	Hematopoietic	PMF
PMF	LightSalmon	Primary Myelofibrosis	Myeloproliferative Neoplasms	C0001815	C2862	Hematopoietic	CMPN
SPCC	Gainsboro	Spindle Cell Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1708784	C45541	Lung	NSCLC
IDCS	LightSalmon	Interdigitating Dendritic Cell Sarcoma	Soft Tissue Sarcoma	C1260326	C9282	Hematopoietic	ODCN
GNOS	Gray	Glioma, NOS	Glioma			CNS/Brain	DIFG
SRCCR	SaddleBrown	Signet Ring Cell Adenocarcinoma of the Colon and Rectum	Colorectal Cancer	C0279654,C1707436	C9168,C7967	Bowel	COADREAD
NSCHL	LimeGreen	Classic Hodgkin Lymphoma, Nodular Sclerosis	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	CHL
PPB	Gainsboro	Pleuropulmonary Blastoma	Non-Small Cell Lung Cancer	C1266144	C5669	Lung	LUNG
AFH	LightYellow	Angiomatoid Fibrous Histiocytoma	Angiomatoid Fibrous Histiocytoma			Soft Tissue	SOFT_TISSUE
LBGN	LimeGreen	Lymphoid Benign	Lymphatic Cancer, NOS			Hematopoietic	LYMPH
UMC	PeachPuff	Uterine Mucinous Carcinoma	Endometrial Cancer	C0854923	C40144	Uterus	UCEC
DES	LightYellow	Desmoid/Aggressive Fibromatosis	Soft Tissue Sarcoma	C0079218	C9182	Soft Tissue	SOFT_TISSUE
VMT	Purple	Mature Teratoma	Germ Cell Tumor	C1368910	C9015	Vulva/Vagina	VGCT
CELNOS	LightSalmon	Chronic Eosinophilic Leukemia	Myeloproliferative Neoplasms	C0346421	C4563	Hematopoietic	MPN
GINET	SaddleBrown	Gastrointestinal Neuroendocrine Tumors	Gastrointestinal Neuroendocrine Tumor	C2987127	C95404	Bowel	BOWEL
FIOS	White	Fibroblastic Osteosarcoma	Bone Cancer	C0279602	C4020	Bone	OS
UMEC	PeachPuff	Uterine Mixed Endometrial Carcinoma	Endometrial Cancer			Uterus	UCEC
LATL	LimeGreen	Lymphoid Atypical	Lymphatic Cancer, NOS			Hematopoietic	LYMPH
LAM	Gainsboro	Pulmonary Lymphangiomyomatosis	Non-Small Cell Lung Cancer	C0349649	C38153	Lung	LUNG
MPNU	LightSalmon	Myeloproliferative Neoplasms, NOS (Unclassifiable)	Myeloproliferative Neoplasms	C1333046	C27350	Hematopoietic	MPN
IFS	LightYellow	Infantile Fibrosarcoma	Infantile Fibrosarcoma			Soft Tissue	SOFT_TISSUE
DSRCT	LightYellow	Desmoplastic Small-Round-Cell Tumor	Soft Tissue Sarcoma	C0281508	C8300	Soft Tissue	SOFT_TISSUE
HVLL	LimeGreen	Hydroa Vacciniforme Lymphoproliferative Disorder	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C1708397	C45327	Hematopoietic	EBVTNLPLC
UNEC	PeachPuff	Uterine Neuroendocrine Carcinoma	Endometrial Cancer			Uterus	UCEC
BLLBCRABL1	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with BCR-ABL1 Fusion	B-Cell Lymphoid Proliferations and Lymphomas	C2698317	C80331	Hematopoietic	BLL
VMGCT	Purple	Mixed Germ Cell Tumor	Germ Cell Tumor	C0334524	C4290	Vulva/Vagina	VGCT
HGNEC	SaddleBrown	High-Grade Neuroendocrine Carcinoma of the Colon and Rectum	Gastrointestinal Neuroendocrine Tumor	C3272607	C96156	Bowel	GINET
HGSOS	White	High-Grade Surface Osteosarcoma	Bone Cancer	C1266165	C53958	Bone	OS
ANGL	Gray	Angiocentric Glioma	Glioma	C2363903	C92552	CNS/Brain	PDIFLG
SEBVTLC	LightSalmon	Systemic EBV Positive T-Cell Lymphoma of Childhood	Mature T and NK Neoplasms	C2699747		Hematopoietic	EBVTNLPLC
EHAE	LightYellow	Epithelioid Hemangioendothelioma	Soft Tissue Sarcoma	C0206732	C3800	Soft Tissue	SOFT_TISSUE
VPE	Purple	Polyembryoma	Germ Cell Tumor			Vulva/Vagina	VGCT
OCNOS	LightBlue	Ovarian Choriocarcinoma, NOS	Ovarian Cancer			Ovary/Fallopian Tube	OOVC
SARCL	Gainsboro	Sarcomatoid Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1708781	C45540	Lung	LUNG
ATLL	LimeGreen	Adult T-Cell Leukemia/Lymphoma	Mature T and NK Neoplasms	C0023493	C3184	Hematopoietic	MTNL
USC	PeachPuff	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	Endometrial Cancer	C0854924	C27838	Uterus	UCEC
BLLKMT2A	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with KMT2A Rearrangement	B-Cell Lymphoid Proliferations and Lymphomas	C2698309	C80332	Hematopoietic	BLL
MGST	LightYellow	Malignant Glomus Tumor	Malignant Glomus Tumor			Soft Tissue	SOFT_TISSUE
SBWDNET	SaddleBrown	Small Bowel Well-Differentiated Neuroendocrine Tumor	Gastrointestinal Neuroendocrine Tumor	C1332564	C9461	Bowel	GINET
LGCOS	White	Low-Grade Central Osteosarcoma	Bone Cancer	C1266163	C6474	Bone	OS
ESCC	LightSkyBlue	Esophageal Squamous Cell Carcinoma	Esophagogastric Cancer	C0279626	C4024	Esophagus/Stomach	STOMACH
MLNPCM1JAK2	LightSalmon	Myeloid/Lymphoid Neoplasms with PCM1-JAK2	Leukemia	C5229383	C129853	Hematopoietic	MLNER
BLLETV6RUNX1	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with ETV6-RUNX1 Fusion	B-Cell Lymphoid Proliferations and Lymphomas	C2698314	C80334	Hematopoietic	BLL
VYST	Purple	Yolk Sac Tumor	Germ Cell Tumor	C1336945	C6379	Vulva/Vagina	VGCT
ASCT	DarkRed	Adenosquamous Carcinoma of the Tongue	Head and Neck Cancer			Head and Neck	OHNCA
EATL	LightSalmon	Enteropathy-Associated T-Cell Lymphoma	Mature T and NK Neoplasms	C0456889	C4737	Hematopoietic	ITNLPL
UUC	PeachPuff	Uterine Undifferentiated Carcinoma	Endometrial Cancer	C0850327	C6345	Uterus	UCEC
AWDNET	SaddleBrown	Well-Differentiated Neuroendocrine Tumor of the Appendix	Gastrointestinal Neuroendocrine Tumor	C3272767	C96422	Bowel	GINET
OSOS	White	Osteoblastic Osteosarcoma	Bone Cancer	C1704328	C53953	Bone	OS
ASTB	Gray	Astroblastoma, MN1- altered	Miscellaneous Neuroepithelial Tumor	C0334587	C4324	CNS/Brain	CAG
ESMM	LightSkyBlue	Mucosal Melanoma of the Esophagus	Melanoma	C1333460	C5707	Esophagus/Stomach	STOMACH
OUTT	PeachPuff	Other Uterine Tumor	Endometrial Cancer			Uterus	UTERUS
BLLHYPER	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with High Hyperdiploidy	B-Cell Lymphoid Proliferations and Lymphomas	C2698311	C80335	Hematopoietic	BLL
FHRCC	Orange	FH-Deficient Renal Cell Carcinoma	Renal Cell Carcinoma			Kidney	NCCRCC
VMA	Purple	Mucinous Adenocarcinoma of the Vulva/Vagina	Vulvar Carcinoma	C1519925	C40252	Vulva/Vagina	VULVA
ENKL	LimeGreen	Extranodal NK/T-Cell Lymphoma	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C0392788		Hematopoietic	EBVTNL
PAOS	White	Parosteal Osteosarcoma	Bone Cancer	C0206642	C8969	Bone	OS
SMN	LightSkyBlue	Smooth Muscle Neoplasm, NOS	Esophagogastric Cancer			Esophagus/Stomach	STOMACH
CLNC	Gray	Cerebellar Liponeurocytoma	Miscellaneous Neuroepithelial Tumor	C1370507	C6905	CNS/Brain	GNT
RWDNET	SaddleBrown	Well-Differentiated Neuroendocrine Tumor of the Rectum	Gastrointestinal Neuroendocrine Tumor	C3272610	C96159	Bowel	GINET
MEITL	LightSalmon	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma	Mature T and NK Neoplasms	C3272525	C96058	Hematopoietic	ITNLPL
SPZM	Black	Spitzoid Melanoma	Melanoma			Skin	MEL
UUS	PeachPuff	Undifferentiated Uterine Sarcoma	Uterine Sarcoma	CL033042	C8972	Uterus	USARC
BLLHYPO	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy	B-Cell Lymphoid Proliferations and Lymphomas	C2698312	C80338	Hematopoietic	BLL
PEOS	White	Periosteal Osteosarcoma	Bone Cancer	C1377843	C8970	Bone	OS
CHGL	Gray	Chordoid Glioma	Miscellaneous Neuroepithelial Tumor	C1322252	C5592	CNS/Brain	CAG
EYE	Green	Eye	Eye Cancer	C0015392	C12401	Tissue	TISSUE
BYST	Gray	Yolk Sac Tumor	Germ Cell Tumor			CNS/Brain	BGCT
SWDNET	LightSkyBlue	Well-Differentiated Neuroendocrine Tumors of the Stomach	Gastrointestinal Neuroendocrine Tumor	C3272399	C95871	Esophagus/Stomach	GINETES
ITLPDGI	LimeGreen	Indolent T-Cell Lymphoma of the GI Tract	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C4528218	C139021	Hematopoietic	ITNLPL
PERL	LightSalmon	Acute Erythroid Leukemia	Leukemia	C4520841	C7467	Hematopoietic	AMLNOS
MBLWNT	Gray	Medulloblastoma, WNT Subtype	Medulloblastoma			CNS/Brain	MBLMD
SCGBC	Green	Small Cell Gallbladder Carcinoma	Hepatobiliary Cancer			Biliary Tract	GBC
HGSFT	LightBlue	High-Grade Serous Fallopian Tube Cancer	Ovarian Cancer			Ovary/Fallopian Tube	OOVC
RBL	Green	Retinoblastoma	Retinoblastoma	C0035335	C7541	Eye	EYE
CNC	Gray	Central Neurocytoma	Miscellaneous Neuroepithelial Tumor	C0206719	C3791	CNS/Brain	GNT
MNG	Gray	Meningioma	CNS Cancer	C0025286	C3230	CNS/Brain	MNGT
MCCE	Teal	Mixed Cervical Carcinoma	Cervical Cancer			Cervix	CERVIX
SECOS	White	Secondary Osteosarcoma	Bone Cancer	C1710042	C53704	Bone	OS
GSARC	Gray	Gliosarcoma	Glioma	C0206726	C3796	CNS/Brain	GB
THPD	Teal	Poorly Differentiated Thyroid Cancer	Thyroid Cancer	C1266050	C6040	Thyroid	THYROID
MTSCC	Orange	Renal Mucinous Tubular Spindle Cell Carcinoma	Renal Cell Carcinoma	C1513719	C39807	Kidney	NCCRCC
MASC	HotPink	Metaplastic Adenosquamous Carcinoma	Breast Cancer	C1510796	C40361	Breast	EMBC
PTAD	Gray	Pituitary Adenoma/Pituitary Neuroendocrine Tumor 	Sellar Tumor	C0032000	C3329	CNS/Brain	SELT
STMYEC	LightYellow	Soft Tissue Myoepithelial Carcinoma	Soft Tissue Sarcoma	C0334699	C7596	Soft Tissue	SOFT_TISSUE
LGT	Green	Lacrimal Gland Tumor	Lacrimal Gland Tumor			Eye	EYE
MRC	Orange	Renal Medullary Carcinoma	Renal Cell Carcinoma	CL448379		Kidney	NCCRCC
EBOV	LightBlue	Endometrioid Borderlin Ovarian Tumor	Ovarian Cancer	C0334338	C7983	Ovary/Fallopian Tube	OVT
THME	Teal	Medullary Thyroid Cancer	Thyroid Cancer	C0238462	C3879	Thyroid	THYROID
ISMCL	LimeGreen	In Situ Mantle Cell Neoplasia	B-Cell Lymphoid Proliferations and Lymphomas	C4527429	C138191	Hematopoietic	MCL
MCL	LimeGreen	Mantle Cell Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C0334634	C4337	Hematopoietic	MBN
OPHSC	DarkRed	Oropharynx Squamous Cell Carcinoma	Head and Neck Cancer	C0280313		Head and Neck	HNSC
GRCT	LightBlue	Granulosa Cell Tumor	Sex Cord Stromal Tumor	C0018206	C3070	Ovary/Fallopian Tube	SCST
DDLS	LightYellow	Dedifferentiated Liposarcoma	Soft Tissue Sarcoma	C0205824	C3704	Soft Tissue	LIPO
MSCC	HotPink	Metaplastic Squamous Cell Carcinoma	Breast Cancer	C1336079	C5177	Breast	EMBC
GCB	LimeGreen	DLBCL, Germinal Center B-Cell Subtype	B-Cell Lymphoid Proliferations and Lymphomas	C1333295 	C36080	Hematopoietic	DLBCLNOS
DLBCLNOS	LimeGreen	Diffuse Large B-Cell Lymphoma, NOS	B-Cell Lymphoid Proliferations and Lymphomas	C1710498	C45231	Hematopoietic	LBL
SLCT	LightBlue	Sertoli-Leydig Cell Tumor	Sex Cord Stromal Tumor	C0003810	C2880	Ovary/Fallopian Tube	SCST
PTCA	Gray	Pituitary Carcinoma	Sellar Tumor	C0346300	C4536	CNS/Brain	SELT
ROCY	Orange	Renal Oncocytoma	Renal Cell Carcinoma	C0346255	C4526	Kidney	NCCRCC
MXOV	LightBlue	Mixed Ovarian Carcinoma	Ovarian Cancer	C0279392	C40090	Ovary/Fallopian Tube	OVT
RCYC	LightSalmon	Childhood Myelodysplastic Neoplasm with Low Blasts	Myelodysplastic Neoplasms	C2826323	C82596	Hematopoietic	MDSC
SCLG	Green	Squamous Cell Carcinoma of the Lacrimal Gland	Lacrimal Gland Tumor			Eye	LGT
LXSC	DarkRed	Larynx Squamous Cell Carcinoma	Head and Neck Cancer	C0280324	C4044	Head and Neck	HNSC
MRLS	LightYellow	Myxoid/Round-Cell Liposarcoma	Soft Tissue Sarcoma	C0206634	C27781	Soft Tissue	LIPO
SBLU	LimeGreen	Splenic B-Cell Lymphomas and Leukemias	B-Cell Lymphoid Proliferations and Lymphomas	C2699507	C80308	Hematopoietic	MBN
APTAD	Gray	Atypical Pituitary Adenoma	Sellar Tumor			CNS/Brain	SELT
AMLMD	LightSalmon	AML with Minimal Differentiation	Leukemia	C0522631	C8460	Hematopoietic	AMLNOS
FT	LightBlue	Fibrothecoma	Sex Cord Stromal Tumor			Ovary/Fallopian Tube	SCST
SYNS	LightYellow	Synovial Sarcoma	Soft Tissue Sarcoma	C0039101	C3400	Soft Tissue	SOFT_TISSUE
MIXED	Black	Mixed Cancer Types	Cancer of Unknown Primary			Other	OTHER
RSCC	Orange	Renal Small Cell Carcinoma	Renal Cell Carcinoma	CL473652		Kidney	NCCRCC
SCT	LightBlue	Steroid Cell Tumor, NOS	Sex Cord Stromal Tumor			Ovary/Fallopian Tube	SCST
AM	LightSalmon	AML with Maturation	Leukemia	C1879321	C3250	Hematopoietic	AMLNOS
NPC	DarkRed	Nasopharyngeal Carcinoma	Head and Neck Cancer	C2931822	C3871	Head and Neck	HEAD_NECK
SCOAH	Gray	Spindle Cell Oncocytoma of the Adenohypophysis	Sellar Tumor	C2986561	C94537	CNS/Brain	SELT
PLLS	LightYellow	Pleomorphic Liposarcoma	Soft Tissue Sarcoma	C0205825	C3705	Soft Tissue	LIPO
NECNOS	Black	Neuroendocrine Carcinoma, NOS	Cancer of Unknown Primary			Other	CUP
MCD	LightSalmon	Mastocytosis	Mastocytosis	C0024899	C84269	Hematopoietic	MNM
SNSC	DarkRed	Sinonasal Squamous Cell Carcinoma	Head and Neck Cancer	C0334270	C54287	Head and Neck	HNSC
TGCT	LightYellow	Tenosynovial Giant Cell Tumor Diffuse Type	Soft Tissue Sarcoma	C0039106	C3401	Soft Tissue	SOFT_TISSUE
SDRPL	LimeGreen	Splenic Diffuse Red Pulp Small B-Cell Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C2699508	C80309	Hematopoietic	SBLU
SOC	LightBlue	Serous Ovarian Cancer	Ovarian Cancer	C1335177	C7550	Ovary/Fallopian Tube	OVT
AWM	LightSalmon	AML without Maturation	Leukemia	C0026998	C3249	Hematopoietic	AMLNOS
IDCT	LightSalmon	Indeterminate Dendritic Cell Tumor	Histiocytosis			Hematopoietic	ODCN
ACLG	Green	Adenoid Cystic Carcinoma of the Lacrimal Gland	Lacrimal Gland Tumor			Eye	LGT
NSGCT	Red	Non-Seminomatous Germ Cell Tumor	Germ Cell Tumor	CL480935		Testis	TESTIS
LGSOC	LightBlue	Low-Grade Serous Ovarian Cancer	Ovarian Cancer	CL446432		Ovary/Fallopian Tube	SOC
LUSC	Gainsboro	Lung Squamous Cell Carcinoma	Non-Small Cell Lung Cancer	C0149782	C3493	Lung	NSCLC
FRCT	LightSalmon	Fibroblastic Reticular Cell Tumor	Stroma-derived Neoplasms of Lymphoid Tissues			Hematopoietic	FDCN
PTHC	DarkRed	Parathyroid Carcinoma	Parathyroid Cancer			Head and Neck	PTH
NETNOS	Black	Neuroendocrine Tumor, NOS	Cancer of Unknown Primary			Other	CUP
HGSOC	LightBlue	High-Grade Serous Ovarian Cancer	Ovarian Cancer	CL446431		Ovary/Fallopian Tube	SOC
CMCD	LightSalmon	Cutaneous Mastocytosis	Mastocytosis	C1136033	C7137	Hematopoietic	MCD
WDLS	LightYellow	Well-Differentiated Liposarcoma	Soft Tissue Sarcoma	C1370889	C4250	Soft Tissue	LIPO
HCL-V	LimeGreen	Hairy Cell Leukemia-Variant	Mature B-Cell Neoplasms	C0349633	C7401	Hematopoietic	SBLPN
CAEXPA	DarkRed	Carcinoma ex Pleomorphic Adenoma	Salivary Gland Cancer			Head and Neck	SACA
ACCC	DarkRed	Acinic Cell Carcinoma	Salivary Gland Cancer	C0206685	C3768	Head and Neck	SACA
MOV	LightBlue	Mucinous Ovarian Cancer	Ovarian Cancer	C1335168	C5242	Ovary/Fallopian Tube	OVT
SSM	LightSalmon	Smoldering Systemic Mastocytosis	Mastocytosis	C3897042	C115460	Hematopoietic	SM
SM	LightSalmon	Systemic Mastocytosis	Mastocytosis	C0221013	C9235	Hematopoietic	MCD
MGUS	LimeGreen	Monoclonal Gammopathies	B-Cell Lymphoid Proliferations and Lymphomas	C0026470	C3996	Hematopoietic	PCNODP
BRAME	HotPink	Adenomyoepithelioma of the Breast	Breast Cancer	C1510795	C6899	Breast	BREAST
MFH	LightYellow	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Soft Tissue Sarcoma	C0334463	C4247	Soft Tissue	SOFT_TISSUE
TCCA	Red	Choriocarcinoma	Germ Cell Tumor	C0238449	C7733	Testis	NSGCT
ANGS	LightYellow	Angiosarcoma	Soft Tissue Sarcoma	C0018923	C3088	Soft Tissue	SOFT_TISSUE
JXG	LightSalmon	Disseminated Juvenile Xanthogranuloma	Histiocytosis			Hematopoietic	XGA
PDC	Black	Poorly Differentiated Carcinoma, NOS	Cancer of Unknown Primary			Other	CUP
LGFMS	LightYellow	Low-Grade Fibromyxoid Sarcoma	Soft Tissue Sarcoma	C1275282	C45202	Soft Tissue	SOFT_TISSUE
ISM	LightSalmon	Indolent Systemic Mastocytosis	Mastocytosis	C0272203	C9286	Hematopoietic	SM
LUPC	Gainsboro	Pleomorphic Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1711397	C45542	Lung	NSCLC
PADA	DarkRed	Pleomorphic Adenoma	Salivary Gland Cancer			Head and Neck	SACA
DCIS	HotPink	Breast Ductal Carcinoma In Situ	Breast Cancer	C0007124	C2924	Breast	BREAST
PAC	DarkRed	Polymorphous Adenocarcinoma	Salivary Gland Cancer			Head and Neck	SACA
MF	LightYellow	Myofibroma	Soft Tissue Sarcoma	C1266121	C7052	Soft Tissue	SOFT_TISSUE
SCCNOS	Black	Squamous Cell Carcinoma, NOS	Cancer of Unknown Primary			Other	CUP
SGTTL	Gainsboro	Salivary Gland-Type Tumor of the Lung	Non-Small Cell Lung Cancer			Lung	NSCLC
SMAHN	LightSalmon	Systemic Mastocytosis with an Associated Hematological Neoplasm	Mastocytosis	C1301365		Hematopoietic	SM
ACYC	DarkRed	Adenoid Cystic Carcinoma	Salivary Gland Cancer	C0010606	C2970	Head and Neck	SACA
MGUSIGM	LimeGreen	IgM Monoclonal Gammopathy of Undetermined Significance	B-Cell Lymphoid Proliferations and Lymphomas			Hematopoietic	MGUS
MBOV	LightBlue	Mucinous Borderline Ovarian Tumor	Ovarian Cancer	C0279664	C40036	Ovary/Fallopian Tube	OVT
CAIS	SaddleBrown	Colon Adenocarcinoma In Situ	Colorectal Cancer			Bowel	COADREAD
NSCLCPD	Gainsboro	Poorly Differentiated Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer			Lung	NSCLC
CCS	LightYellow	Clear Cell Sarcoma	Soft Tissue Sarcoma	C0206651	C3745	Soft Tissue	SOFT_TISSUE
SCUP	Black	Small Cell Carcinoma of Unknown Primary	Cancer of Unknown Primary			Other	CUP
BCAC	DarkRed	Basal Cell Adenocarcinoma	Salivary Gland Cancer			Head and Neck	SACA
MELC	Gray	Meningeal Melanocytoma	Melanocytic Tumors			CNS/Brain	CMMN
HNMASC	DarkRed	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	Salivary Gland Cancer			Head and Neck	SACA
ALT	LightYellow	Atypical Lipomatous Tumor	Soft Tissue Sarcoma			Soft Tissue	SOFT_TISSUE
LUACC	Gainsboro	Adenoid Cystic Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1334439	C5666	Lung	SGTTL
FDCS	LightSalmon	Follicular Dendritic Cell Sarcoma	Stroma-derived Neoplasms of Lymphoid Tissues	C1260325	C9281	Hematopoietic	FDCN
UDMN	Black	Undifferentiated Malignant Neoplasm	Cancer of Unknown Primary	C1336860	C36051	Other	CUP
OCS	LightBlue	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	Ovarian Cancer	C0392998	C9192	Ovary/Fallopian Tube	OVT
ASM	LightSalmon	Aggressive Systemic Mastocytosis	Mastocytosis	C1112486	C9285	Hematopoietic	SM
MPC	LightYellow	Myopericytoma	Soft Tissue Sarcoma	C1302808	C50401	Soft Tissue	SOFT_TISSUE
MACR	SaddleBrown	Mucinous Adenocarcinoma of the Colon and Rectum	Colorectal Cancer	C1707439	C43585	Bowel	COADREAD
ALCLALKN	LimeGreen	ALK Negative Anaplastic Large-Cell Lymphoma 	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C1332078	C37194	Hematopoietic	ALCL
DCS	LightYellow	Dendritic Cell Sarcoma	Soft Tissue Sarcoma	C1334030	C9294	Soft Tissue	SOFT_TISSUE
CNL	LightSalmon	Chronic Neutrophilic Leukemia	Myeloproliferative Neoplasms	C0023481	C3179	Hematopoietic	MPN
UPA	Yellow	Urothelial Papilloma	Bladder Cancer			Bladder/Urinary Tract	BLADDER
OSMAD	LightBlue	Ovarian Seromucinous Adenoma	Ovarian Cancer			Ovary/Fallopian Tube	OVT
LAMN	SaddleBrown	Low-grade Appendiceal Mucinous Neoplasm	Appendiceal Cancer			Bowel	BOWEL
OAT	Teal	Oncocytic Adenoma of the Thyroid	Thyroid Cancer			Thyroid	THYROID
HDCS	LightYellow	Histiocytic Dendritic Cell Sarcoma	Soft Tissue Sarcoma	C0334663	C27349	Soft Tissue	DCS
VOEC	Purple	Embryonal Carcinoma	Germ Cell Tumor			Vulva/Vagina	VGCT
PMFPES	LightSalmon	Primary Myelofibrosis, Prefibrotic	Myeloproliferative Neoplasms	C1516553	C41237	Hematopoietic	 PMF
MFS	LightYellow	Myxofibrosarcoma	Soft Tissue Sarcoma	C0334454	C6496	Soft Tissue	SOFT_TISSUE
DASTR	Gray	Diffuse Astrocytoma, MYB- or MYBL1-Altered	Glioma	C0280785	C7173	CNS/Brain	PDIFLG
LUMEC	Gainsboro	Mucoepidermoid Carcinoma of the Lung	Non-Small Cell Lung Cancer	C1708778	C45544	Lung	SGTTL
READ	SaddleBrown	Rectal Adenocarcinoma	Colorectal Cancer	C0149978	C9383	Bowel	COADREAD
BIALCL	LightSalmon	Breast Implant-Associated Anaplastic Large-Cell Lymphoma	Mature T and NK Neoplasms	C4528210	C139012	Hematopoietic	ALCL
VDYS	Purple	Dysgerminoma	Germ Cell Tumor	C0346185	C8106	Vulva/Vagina	VGCT
IUP	Yellow	Inverted Urothelial Papilloma	Bladder Cancer			Bladder/Urinary Tract	BLADDER
THRLBCL	LimeGreen	T-Cell/Histiocyte-Rich Large B-Cell Lymphoma	B-Cell Lymphoid Proliferations and Lymphomas	C1321547		Hematopoietic	LBL
ECD	LightSalmon	Erdheim-Chester Disease	Histiocytosis	C0878675	C53972	Hematopoietic	HN
LUCA	Gainsboro	Lung Carcinoid	Non-Small Cell Lung Cancer	C0280089	C4038	Lung	LNET
LNET	Gainsboro	Lung Neuroendocrine Tumor	Non-Small Cell Lung Cancer	C1334452	C5670	Lung	LUNG
EPM	Gray	Ependymoma	Glioma	C0014474	C3017	CNS/Brain	EPMT
STSC	LightSkyBlue	Small Cell Carcinoma of the Stomach	Esophagogastric Cancer	C1333788	C6764	Esophagus/Stomach	EGC
EHCH	Green	Extrahepatic Cholangiocarcinoma	Hepatobiliary Cancer			Biliary Tract	CHOL
CHOL	Green	Cholangiocarcinoma	Hepatobiliary Cancer	C0206698	C4436	Biliary Tract	IPN
THPA	Teal	Papillary Thyroid Cancer	Thyroid Cancer	C0238463	C4035	Thyroid	WDTC
WDTC	Teal	Well-Differentiated Thyroid Cancer	Thyroid Cancer	C1337013	C7153	Thyroid	THYROID
ATRT	Gray	Atypical Teratoid/Rhabdoid Tumor	Embryonal Tumor	C1266184	C6906	CNS/Brain	OCNSET
CEEN	Teal	Cervical Endometrioid Carcinoma	Cervical Cancer	C0206687	C3769	Cervix	CEAD
SRCC	Orange	Sarcomatoid Renal Cell Carcinoma	Renal Cell Carcinoma	C1266043	C27893	Kidney	NCCRCC
MAC	Black	Microcystic Adnexal Carcinoma	Skin Cancer, Non-Melanoma	C0346027	C7581	Skin	SKIN
CCHM	HotPink	Carcinoma with Chondroid Metaplasia	Breast Cancer	C1707042	C47847	Breast	MMBC
MMBC	HotPink	Mixed Type Metaplastic Breast Cancer	Breast Cancer	C1513365	C40364	Breast	MBC
PORO	Black	Poroma/Acrospiroma	Skin Cancer, Non-Melanoma	C1533161	C27273	Skin	SKIN
