primary	secondary	tertiary	quaternary	quinternary	metamaintype	metacolor	metanci	metaumls	metanccn
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Pleomorphic Carcinoma of the Lung (LUPC)			Non-Small Cell Lung Cancer	Gainsboro	C45542	C1711397	
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Poorly Differentiated Non-Small Cell Lung Cancer (NSCLCPD)			Non-Small Cell Lung Cancer	Gainsboro			Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Salivary Gland���Type Tumor of the Lung (SGTTL)			Non-Small Cell Lung Cancer	Gainsboro			Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Salivary Gland���Type Tumor of the Lung (SGTTL)	Adenoid Cystic Carcinoma of the Lung (LUACC)		Non-Small Cell Lung Cancer	Gainsboro	C5666	C1334439	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Salivary Gland���Type Tumor of the Lung (SGTTL)	Mucoepidermoid Carcinoma of the Lung (LUMEC)		Non-Small Cell Lung Cancer	Gainsboro	C45544	C1708778	Non-Small Cell Lung Cancer
Lung (LUNG)	Non-Small Cell Lung Cancer (NSCLC)	Spindle Cell Carcinoma of the Lung (SpCC)			Non-Small Cell Lung Cancer	Gainsboro	C45541	C1708784	Non-Small Cell Lung Cancer
Lung (LUNG)	Pleuropulmonary Blastoma (PPB)				Non-Small Cell Lung Cancer	Gainsboro	C5669	C1266144	Non-Small Cell Lung Cancer
Lung (LUNG)	Pulmonary Lymphangiomyomatosis (LAM)				Non-Small Cell Lung Cancer	Gainsboro	C38153	C0349649	Non-Small Cell Lung Cancer
Lung (LUNG)	Sarcomatoid Carcinoma of the Lung (SARCL)				Non-Small Cell Lung Cancer	Gainsboro	C45540	C1708781	Non-Small Cell Lung Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Cancer, Other (OOVC)				Ovarian Cancer	LightBlue	C4908	C0677886	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Cancer, Other (OOVC)	High-Grade Neuroendocrine Carcinoma of the Ovary (HGONEC)			Ovarian Cancer	LightBlue			Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)				Ovarian Cancer	LightBlue	C4381	C0341823	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Brenner Tumor (BTOV)			Ovarian Cancer	LightBlue	C39954	CL323981	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Brenner Tumor (BTOV)	Brenner Tumor, Malignant (BTMOV)		Ovarian Cancer	LightBlue	C4270	C0334495	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Brenner Tumor (BTOV)	Brenner Tumor, Borderline (BTBOV)		Ovarian Cancer	LightBlue	C9459	C0334494	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Brenner Tumor (BTOV)	Brenner Tumor, Benign (BTBEOV)		Ovarian Cancer	LightBlue	C4746	C0474834	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Clear Cell Ovarian Cancer (CCOV)			Ovarian Cancer	LightBlue	C40076	C0346164	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Clear Cell Borderline Ovarian Tumor (CCBOV)			Ovarian Cancer	LightBlue	C40080	C0279676	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Endometrioid Ovarian Cancer (EOV)			Ovarian Cancer	LightBlue	C7979	C0346163	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Endometrioid Borderlin Ovarian Tumor (EBOV)			Ovarian Cancer	LightBlue	C7983	C0334338	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Mixed Ovarian Carcinoma (MXOV)			Ovarian Cancer	LightBlue	C40090	C0279392	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Serous Ovarian Cancer (SOC)			Ovarian Cancer	LightBlue	C7550	C1335177	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Serous Ovarian Cancer (SOC)	High-Grade Serous Ovarian Cancer (HGSOC)		Ovarian Cancer	LightBlue	C105555	C3642254	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Serous Ovarian Cancer (SOC)	Low-Grade Serous Ovarian Cancer (LGSOC)		Ovarian Cancer	LightBlue	C105556	C3642255	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Mucinous Ovarian Cancer (MOV)			Ovarian Cancer	LightBlue	C5242	C1335168	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Mucinous Borderline Ovarian Tumor (MBOV)			Ovarian Cancer	LightBlue	C40036	C0279664	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor (OCS)			Ovarian Cancer	LightBlue	C9192	C0392998	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Ovarian Seromucinous Adenoma (OSMAD)			Ovarian Cancer	LightBlue			Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Ovarian Seromucinous Borderline Tumor (OSMBT)			Ovarian Cancer	LightBlue	C40038	C1511264	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Ovarian Seromucinous Carcinoma (OSMCA)			Ovarian Cancer	LightBlue	C40090	C0279392	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Small Cell Carcinoma of the Ovary (SCCO)			Ovarian Cancer	LightBlue	C27390	C2212006	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Serous Borderline Ovarian Tumor (SBOV)			Ovarian Cancer	LightBlue	C5226	C1332598	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Epithelial Tumor (OVT)	Serous Borderline Ovarian Tumor, Micropapillary (SBMOV)			Ovarian Cancer	LightBlue	C122585	C4055371	Ovarian Cancer
Ovary/Fallopian Tube (OVARY)	Ovarian Germ Cell Tumor (OGCT)	Dysgerminoma (ODYS)			Germ Cell Tumor	LightBlue	C8106	C0346185	
Ovary/Fallopian Tube (OVARY)	Ovarian Germ Cell Tumor (OGCT)	Embryonal Carcinoma (OEC)			Germ Cell Tumor	LightBlue	C8108	C0346183	
Ovary/Fallopian Tube (OVARY)	Ovarian Germ Cell Tumor (OGCT)	Immature Teratoma (OIMT)			Germ Cell Tumor	LightBlue	C8111	C0346182	
Ovary/Fallopian Tube (OVARY)	Ovarian Germ Cell Tumor (OGCT)	Mature Teratoma (OMT)			Germ Cell Tumor	LightBlue	C8112	C1334637	
Ovary/Fallopian Tube (OVARY)	Ovarian Germ Cell Tumor (OGCT)	Mixed Germ Cell Tumor (OMGCT)			Germ Cell Tumor	LightBlue	C8114	C0280135	
Ovary/Fallopian Tube (OVARY)	Ovarian Germ Cell Tumor (OGCT)	Polyembryoma (OPE)			Germ Cell Tumor	LightBlue	C39990	C1514199	
Ovary/Fallopian Tube (OVARY)	Ovarian Germ Cell Tumor (OGCT)	Yolk Sac Tumor (OYST)			Germ Cell Tumor	LightBlue	C8107	C0346188	
Ovary/Fallopian Tube (OVARY)	Sex Cord Stromal Tumor (SCST)	Gonadoblastoma (OGBL)			Sex Cord Stromal Tumor	LightBlue	C39985	C1518716	
Ovary/Fallopian Tube (OVARY)	Sex Cord Stromal Tumor (SCST)	Granulosa Cell Tumor (GRCT)			Sex Cord Stromal Tumor	LightBlue	C6261	C1370419	
Ovary/Fallopian Tube (OVARY)	Sex Cord Stromal Tumor (SCST)	Fibrothecoma (FT)			Sex Cord Stromal Tumor	LightBlue	C3405	C0039747	
Ovary/Fallopian Tube (OVARY)	Sex Cord Stromal Tumor (SCST)	Sertoli-Leydig Cell Tumor (SLCT)			Sex Cord Stromal Tumor	LightBlue	C2880	C0003810	
Ovary/Fallopian Tube (OVARY)	Sex Cord Stromal Tumor (SCST)	Steroid Cell Tumor, NOS (SCT)			Sex Cord Stromal Tumor	LightBlue	C39979	C1518740	
Pancreas (PANCREAS)	Acinar Cell Carcinoma of the Pancreas (PAAC)				Pancreatic Cancer	Purple	C7977	C0279661	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Adenosquamous Carcinoma of the Pancreas (PAASC)				Pancreatic Cancer	Purple	C5721	C1335299	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Cystic Tumor of the Pancreas (PACT)				Pancreatic Cancer	Purple	C41247	C1518872	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Cystic Tumor of the Pancreas (PACT)	Intraductal Papillary Mucinous Neoplasm (IPMN)			Pancreatic Cancer	Purple	C38342	C1518869	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Cystic Tumor of the Pancreas (PACT)	Mucinous Cystic Neoplasm (MCN)			Pancreatic Cancer	Purple	C41247	C1518872	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Cystic Tumor of the Pancreas (PACT)	Serous Cystadenoma of the Pancreas (PSC)			Pancreatic Cancer	Purple	C5712	C1335316	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Pancreatic Adenocarcinoma (PAAD)				Pancreatic Cancer	Purple	C8294	C0281361	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Pancreatic Neuroendocrine Tumor (PANET)				Pancreatic Cancer	Purple	C27720	C1337011	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Pancreatoblastoma (PB)				Pancreatic Cancer	Purple	C4265	C0334489	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Solid Pseudopapillary Neoplasm of the Pancreas (SPN)				Pancreatic Cancer	Purple	C37212	C1336030	Pancreatic Adenocarcinoma
Pancreas (PANCREAS)	Undifferentiated Carcinoma of the Pancreas (UCP)				Pancreatic Cancer	Purple	C5722	C1336861	Pancreatic Adenocarcinoma
Penis (PENIS)	Penile Squamous Cell Carcinoma (PSCC)				Penile Cancer	Blue	C7729	C0238348	Penile Cancer
Penis (PENIS)	Penile Squamous Cell Carcinoma (PSCC)	Basaloid Penile Squamous Cell Carcinoma (BPSCC)			Penile Cancer	Blue	C6980	C1332462	Penile Cancer
Penis (PENIS)	Penile Squamous Cell Carcinoma (PSCC)	Verrucous Penile Squamous Cell Carcinoma (VPSCC)			Penile Cancer	Blue	C6982	C1336955	Penile Cancer
Penis (PENIS)	Penile Squamous Cell Carcinoma (PSCC)	Warty Penile Squamous Cell Carcinoma (WPSCC)			Penile Cancer	Blue	C6981	C1337009	Penile Cancer
Peritoneum (PERITONEUM)	Peritoneal Mesothelioma (PEMESO)				Mesothelioma	Green	C7633	C1377610	Malignant Pleural Mesothelioma
Pleura (PLEURA)	Pleural Mesothelioma (PLMESO)				Mesothelioma	Blue	C9351	C1377913	Malignant Pleural Mesothelioma
Pleura (PLEURA)	Pleural Mesothelioma (PLMESO)	Pleural Mesothelioma, Biphasic Type (PLBMESO)			Mesothelioma	Blue	C45665	C1709570	Malignant Pleural Mesothelioma
Pleura (PLEURA)	Pleural Mesothelioma (PLMESO)	Pleural Mesothelioma, Epithelioid Type (PLEMESO)			Mesothelioma	Blue	C45662	C1709574	Malignant Pleural Mesothelioma
Pleura (PLEURA)	Pleural Mesothelioma (PLMESO)	Pleural Mesothelioma, Sarcomatoid Type (PLSMESO)			Mesothelioma	Blue	C45663	C1709578	Malignant Pleural Mesothelioma
Prostate (PROSTATE)	Prostate Adenocarcinoma (PRAD)				Prostate Cancer	Cyan	C2919	C0007112	Prostate Cancer
Prostate (PROSTATE)	Prostate Neuroendocrine Carcinoma (PRNE)				Prostate Cancer	Cyan	C5545	C1335515	Prostate Cancer
Prostate (PROSTATE)	Prostate Small Cell Carcinoma (PRSCC)				Prostate Cancer	Cyan	C6766	C1300585	Prostate Cancer
Prostate (PROSTATE)	Prostate Sqamous Cell Carcinoma (PRSC)				Prostate Cancer	Cyan	C5536	C1302530	Prostate Cancer
Skin (SKIN)	Aggressive Digital Papillary Adenocarcinoma (ADPA)				Skin Cancer, Non-Melanoma	Black	C27534	C1367789	Non-Melanoma Skin Cancers
Skin (SKIN)	Atypical Fibroxanthoma (AFX)				Skin Cancer, Non-Melanoma	Black	C4246	C0346053	Non-Melanoma Skin Cancers
Skin (SKIN)	Basal Cell Carcinoma (BCC)				Skin Cancer, Non-Melanoma	Black	C2921	C0007117	Non-Melanoma Skin Cancers
Skin (SKIN)	Cutaneous Squamous Cell Carcinoma (CSCC)				Skin Cancer, Non-Melanoma	Black	C4819	C0553723	Non-Melanoma Skin Cancers
Skin (SKIN)	Dermatofibroma (DF)				Skin Cancer, Non-Melanoma	Black	C6801	C0002991	Non-Melanoma Skin Cancers
Skin (SKIN)	Dermatofibrosarcoma Protuberans (DFSP)				Skin Cancer, Non-Melanoma	Black	C4683	C0392784	Non-Melanoma Skin Cancers
Skin (SKIN)	Desmoplastic Trichoepithelioma (DTE)				Skin Cancer, Non-Melanoma	Black	C27524	C0432526	Non-Melanoma Skin Cancers
Skin (SKIN)	Endocrine Mucin Producing Sweat Gland Carcinoma (EMPSGC)				Skin Cancer, Non-Melanoma	Black			Non-Melanoma Skin Cancers
Skin (SKIN)	Extramammary Paget Disease (EMPD)				Skin Cancer, Non-Melanoma	Black	C3302	C0030186	Non-Melanoma Skin Cancers
Skin (SKIN)	Melanoma (MEL)				Melanoma	Black	C3224	C0025202	Melanoma
Skin (SKIN)	Melanoma (MEL)	Acral Melanoma (ACRM)			Melanoma	Black	C4022	C0346037	Melanoma
Skin (SKIN)	Melanoma (MEL)	Cutaneous Melanoma (SKCM)			Melanoma	Black	C3510	C0151779	Melanoma
Skin (SKIN)	Melanoma (MEL)	Desmoplastic Melanoma (DESM)			Melanoma	Black	C37257	C0334439	Melanoma
Skin (SKIN)	Melanoma (MEL)	Genitourinary Mucosal Melanoma (GMUCM)			Melanoma	Black			Melanoma
Skin (SKIN)	Melanoma (MEL)	Lentigo Maligna Melanoma (SKLMM)			Melanoma	Black	C9151	C2739810	Melanoma
Skin (SKIN)	Melanoma (MEL)	Melanoma of Unknown Primary (MUP)			Melanoma	Black		C1828274	Melanoma
Skin (SKIN)	Melanoma (MEL)	Congenital Nevus (SKCN)			Melanoma	Black	C3944	C1318558	Melanoma
Skin (SKIN)	Merkel Cell Carcinoma (MCC)				Skin Cancer, Non-Melanoma	Black	C9231	C0007129	Non-Melanoma Skin Cancers
Skin (SKIN)	Microcystic Adnexal Carcinoma (MAC)				Skin Cancer, Non-Melanoma	Black	C7581	C0346027	Non-Melanoma Skin Cancers
Skin (SKIN)	Poroma/Acrospiroma (PORO)				Skin Cancer, Non-Melanoma	Black	C27273	C1533161	Non-Melanoma Skin Cancers
Skin (SKIN)	Porocarcinoma/Spiroadenocarcinoma (POCA)				Skin Cancer, Non-Melanoma	Black	C5560	C1266065	Non-Melanoma Skin Cancers
Skin (SKIN)	Porphyria Cutania Tarda (PCT)				Skin Cancer, Non-Melanoma	Black	C27725	C0162566	Non-Melanoma Skin Cancers
Skin (SKIN)	Proliferating Pilar Cystic Tumor (PPCT)				Skin Cancer, Non-Melanoma	Black	C27125	C0086809	Non-Melanoma Skin Cancers
Skin (SKIN)	Sebaceous Carcinoma (SEBA)				Skin Cancer, Non-Melanoma	Black	C40310	C0206684	Non-Melanoma Skin Cancers
Skin (SKIN)	Skin Adnexal Carcinoma (SKAC)				Skin Cancer, Non-Melanoma	Black	C3775	C0206697	Non-Melanoma Skin Cancers
Skin (SKIN)	Spiroma/Spiradenoma (SPIR)				Skin Cancer, Non-Melanoma	Black	C4170	C0334347	Non-Melanoma Skin Cancers
Skin (SKIN)	Sweat Gland Adenocarcinoma (SGAD)				Skin Cancer, Non-Melanoma	Black	C4810	C1321904	Non-Melanoma Skin Cancers
Skin (SKIN)	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma (AECA)				Skin Cancer, Non-Melanoma	Black	C6938	C1412016	Non-Melanoma Skin Cancers
Soft Tissue (SOFT_TISSUE)	Aggressive Angiomyxoma (AA)				Soft Tissue Sarcoma	LightYellow	C6936	C1306242	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Alveolar Soft Part Sarcoma (ASPS)				Soft Tissue Sarcoma	LightYellow	C3750	C0206657	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Angiosarcoma (ANGS)				Soft Tissue Sarcoma	LightYellow	C121671	C4055466	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Clear Cell Sarcoma (CCS)				Soft Tissue Sarcoma	LightYellow	C3745	C0206651	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Dendritic Cell Sarcoma (DCS)				Soft Tissue Sarcoma	LightYellow	C9294	C1334030	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Dendritic Cell Sarcoma (DCS)	Follicular Dendritic Cell Sarcoma (FDCS)			Soft Tissue Sarcoma	LightYellow	C9281	C1260325	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Dendritic Cell Sarcoma (DCS)	Histiocytic Dendritic Cell Sarcoma (HDCS)			Soft Tissue Sarcoma	LightYellow	C27349	C0334663	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Dendritic Cell Sarcoma (DCS)	Interdigitating Dendritic Cell Sarcoma (IDCS)			Soft Tissue Sarcoma	LightYellow	C9282	C1260326	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Desmoid/Aggressive Fibromatosis (DES)				Soft Tissue Sarcoma	LightYellow	C9182	C0079218	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Desmoplastic Small-Round-Cell Tumor (DSRCT)				Soft Tissue Sarcoma	LightYellow	C8300	C0281508	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Epithelioid Hemangioendothelioma (EHAE)				Soft Tissue Sarcoma	LightYellow	C3800	C0206732	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Epithelioid Sarcoma (EPIS)				Soft Tissue Sarcoma	LightYellow	C3714	C0205944	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Epithelioid Sarcoma (EPIS)	Proximal-Type Epithelioid Sarcoma (PTES)			Soft Tissue Sarcoma	LightYellow	C27472	C1335563	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Fibrosarcoma (FIBS)				Soft Tissue Sarcoma	LightYellow	C3043	C0016057	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Fibrosarcoma (FIBS)	Sclerosing Epithelioid Fibrosarcoma (SEF)			Soft Tissue Sarcoma	LightYellow	C49027	C1710026	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Gastrointestinal Stromal Tumor (GIST)				Gastrointestinal Stromal Tumor	LightYellow	C3868	C0238198	
Soft Tissue (SOFT_TISSUE)	Glomangiosarcoma (GS)				Soft Tissue Sarcoma	LightYellow	C4221	C1266111	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Hemangioma (HEMA)				Soft Tissue Sarcoma	LightYellow	C3085	C0018916	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Inflammatory Myofibroblastic Tumor (IMT)				Soft Tissue Sarcoma	LightYellow	C6481	C0334121	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Intimal Sarcoma (INTS)				Soft Tissue Sarcoma	LightYellow	C53677	C1708550	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Leiomyosarcoma (LMS)				Soft Tissue Sarcoma	LightYellow	C3158	C0023269	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Liposarcoma (LIPO)				Soft Tissue Sarcoma	LightYellow	C3194	C0023827	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Liposarcoma (LIPO)	Dedifferentiated Liposarcoma (DDLS)			Soft Tissue Sarcoma	LightYellow	C3704	C0205824	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Liposarcoma (LIPO)	Myxoid/Round-Cell Liposarcoma (MRLS)			Soft Tissue Sarcoma	LightYellow	C27781	C0206634	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Liposarcoma (LIPO)	Pleomorphic Liposarcoma (PLLS)			Soft Tissue Sarcoma	LightYellow	C3705	C0205825	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Liposarcoma (LIPO)	Well-Differentiated Liposarcoma (WDLS)			Soft Tissue Sarcoma	LightYellow	C4250	C1370889	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Low-Grade Fibromyxoid Sarcoma (LGFMS)				Soft Tissue Sarcoma	LightYellow	C45202	C1275282	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma (MFH)				Soft Tissue Sarcoma	LightYellow	C4247	C0334463	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Myofibroma (MF)				Soft Tissue Sarcoma	LightYellow	C7052	C1266121	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Myopericytoma (MPC)				Soft Tissue Sarcoma	LightYellow	C50401	C1302808	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Myxofibrosarcoma (MFS)				Soft Tissue Sarcoma	LightYellow	C6496	C0334454	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Myxoma (MYXO)				Soft Tissue Sarcoma	LightYellow	C6577	C0027149	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Myxoma (MYXO)	Ossifying Fibromyxoid Tumor (OFMT)			Soft Tissue Sarcoma	LightYellow	C6582	C1266128	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Paraganglioma (PGNG)				Miscellaneous Neuroepithelial Tumor	Gray	C3308	C0030421	
Soft Tissue (SOFT_TISSUE)	Perivascular Epithelioid Cell Tumor (PECOMA)				Soft Tissue Sarcoma	LightYellow	C38150	C1300127	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Pseudomyogenic Hemangioendothelioma (PMHE)				Soft Tissue Sarcoma	LightYellow	C121668	C3840252	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Radiation-Associated Sarcoma (RAS)				Soft Tissue Sarcoma	LightYellow	C93125	C2985448	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Rhabdomyosarcoma (RMS)				Soft Tissue Sarcoma	LightYellow	C3359	C0035412	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Rhabdomyosarcoma (RMS)	Alveolar Rhabdomyosarcoma (ARMS)			Soft Tissue Sarcoma	LightYellow	C3749	C0206655	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Rhabdomyosarcoma (RMS)	Embryonal Rhabdomyosarcoma (ERMS)			Soft Tissue Sarcoma	LightYellow	C8971	C0206656	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Rhabdomyosarcoma (RMS)	Pleomorphic Rhabdomyosarcoma (PLRMS)			Soft Tissue Sarcoma	LightYellow	C4258	C0334480	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Rhabdomyosarcoma (RMS)	Spindle Cell Rhabdomyosarcoma (SCRMS)			Soft Tissue Sarcoma	LightYellow	C6519	C1266134	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Rhabdomyosarcoma (RMS)	Spindle Cell/Sclerosing Rhabdomyosarcoma (SCSRMS)			Soft Tissue Sarcoma	LightYellow	C121654	C4053999	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Round Cell Sarcoma, NOS (RCSNOS)				Soft Tissue Sarcoma	LightYellow	C121799	C4048304	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Sarcoma, NOS (SARCNOS)				Soft Tissue Sarcoma	LightYellow	C121804	C4053897	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Solitary Fibrous Tumor/Hemangiopericytoma (SFT)				Soft Tissue Sarcoma	LightYellow	C7634	C1266119	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Soft Tissue Myoepithelial Carcinoma (STMYEC)				Soft Tissue Sarcoma	LightYellow	C7596	C0334699	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Synovial Sarcoma (SYNS)				Soft Tissue Sarcoma	LightYellow	C3400	C0039101	Soft Tissue Sarcoma
Soft Tissue (SOFT_TISSUE)	Tenosynovial Giant Cell Tumor Diffuse Type (TGCT)				Soft Tissue Sarcoma	LightYellow	C3401	C0039106	Soft Tissue Sarcoma
Testis (TESTIS)	Non-Seminomatous Germ Cell Tumor (NSGCT)				Germ Cell Tumor	Red	C9313	C1336724	
Testis (TESTIS)	Non-Seminomatous Germ Cell Tumor (NSGCT)	Choriocarcinoma (TCCA)			Germ Cell Tumor	Red	C7733	C0238449	
Testis (TESTIS)	Non-Seminomatous Germ Cell Tumor (NSGCT)	Embryonal Carcinoma (EMBCA)			Germ Cell Tumor	Red	C6341	C0238448	
Testis (TESTIS)	Non-Seminomatous Germ Cell Tumor (NSGCT)	Mixed Germ Cell Tumor (MGCT)			Germ Cell Tumor	Red	C6347	C1336720	
Testis (TESTIS)	Non-Seminomatous Germ Cell Tumor (NSGCT)	Teratoma (TT)			Germ Cell Tumor	Red	C3877	C0238451	
Testis (TESTIS)	Non-Seminomatous Germ Cell Tumor (NSGCT)	Teratoma with Malignant Transformation (TMT)			Germ Cell Tumor	Red	C4289	C0334523	
Testis (TESTIS)	Non-Seminomatous Germ Cell Tumor (NSGCT)	Yolk Sac Tumor (TYST)			Germ Cell Tumor	Red	C8000	C0279708	
Testis (TESTIS)	Seminoma (SEM)				Germ Cell Tumor	Red	C9309	C0036631	
Testis (TESTIS)	Sex Cord Stromal Tumor (TSCST)				Sex Cord Stromal Tumor	Red	C6358	C3840076	
Testis (TESTIS)	Testicular Lymphoma (TLYM)				Non-Hodgkin Lymphoma	Red	C6810	C0349644	Non-Hodgkin's Lymphomas
Testis (TESTIS)	Testicular Mesothelioma (TMESO)				Mesothelioma	Red		C4022391	Malignant Pleural Mesothelioma
Thymus (THYMUS)	Thymic Epithelial Tumor (TET)				Thymic Tumor	Purple	C6450	C1266101	Thymomas and Thymic Carcinomas
Thymus (THYMUS)	Thymic Epithelial Tumor (TET)	Thymic Carcinoma (THYC)			Thymic Tumor	Purple	C7569	C0205969	Thymomas and Thymic Carcinomas
Thymus (THYMUS)	Thymic Epithelial Tumor (TET)	Thymoma (THYM)			Thymic Tumor	Purple	C3411	C0040100	Thymomas and Thymic Carcinomas
Thymus (THYMUS)	Thymic Neuroendocrine Tumor (TNET)				Thymic Tumor	Purple		CL511204	Thymomas and Thymic Carcinomas
Thyroid (THYROID)	Anaplastic Thyroid Cancer (THAP)				Thyroid Cancer	Teal	C3878	C0238461	Thyroid Carcinoma
